"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","890","Comprando Bolsa","Compras","Tue Nov 04 00:15:20 UTC 2025","passed","Tue Nov 04 00:15:21 UTC 2025","Fluxo de compras","CompraTest.spec.ts","",""
"","5687","Login Sem preencher Password","Login","Tue Nov 04 00:15:34 UTC 2025","passed","Tue Nov 04 00:15:40 UTC 2025","Validações de Login.","LoginTest.spec.ts","",""
"","5656","Login Usuario não cadastrado.","Login","Tue Nov 04 00:15:23 UTC 2025","passed","Tue Nov 04 00:15:28 UTC 2025","Validações de Login.","LoginTest.spec.ts","",""
"","469","Login Sucesso.","Login","Tue Nov 04 00:15:22 UTC 2025","passed","Tue Nov 04 00:15:23 UTC 2025","Validações de Login.","LoginTest.spec.ts","",""
"","5681","Login Sem preencher Usuario e Password.","Login","Tue Nov 04 00:15:40 UTC 2025","passed","Tue Nov 04 00:15:45 UTC 2025","Validações de Login.","LoginTest.spec.ts","",""
"","5671","Login Sem preencher Usuario.","Login","Tue Nov 04 00:15:28 UTC 2025","passed","Tue Nov 04 00:15:34 UTC 2025","Validações de Login.","LoginTest.spec.ts","",""
